Year,Type,NSets,YFT,SKJ,BET
2000,DEL,9235,146533,540,0
2001,DEL,9876,238629,1802,0
2002,DEL,12290,301099,3180,0
2003,DEL,13760,265874,13347,0
2004,DEL,11783,177513,10706,0
2005,DEL,12173,167224,12321,0
2000,OBJ,4221,42522,121723,92966
2001,OBJ,6501,67200,122363,59748
2002,OBJ,6638,38057,116793,55901
2003,OBJ,6249,30178,181273,51301
2004,OBJ,5709,28312,117212,64001
2005,OBJ,5788,25752,132937,66256
2000,NOA,10969,64208,83384,2301
2001,NOA,7046,78107,19000,764
2002,NOA,8380,73130,33573,1518
2003,NOA,13270,87227,79348,1750
2004,NOA,11333,66732,69906,1468
2005,NOA,14738,75125,117971,1638
