Year,YFT_DEL,SKJ_DEL,BET_NOA,YFT_NOA,SKJ_NOA,BET_OBJ,YFT_OBJ,SKJ_OBJ
2000,24.05808263,5.249396118,21.08110549,7.964032749,4.170929575,19.87192906,6.028331025,4.957224836
2001,23.38204934,4.506964079,11.59761286,10.73536074,3.111543272,11.2731877,6.24595999,3.563366505
2002,22.12371146,5.27544167,6.318867071,15.34777536,3.330043604,6.869479447,3.899692539,2.326625867
2003,19.06783744,4.670415104,13.43105785,9.605260553,2.426219296,6.221033017,3.59037147,3.048534599
2004,19.32829296,5.114194158,19.39729249,8.751308966,3.340981046,6.78801917,4.592935274,2.537584673
2005,18.26931381,3.322828259,8.117876591,6.327269047,2.440935889,6.245528335,3.619982789,2.577184604
2006,14.66607981,3.628878428,15.4275108,5.556206056,2.072983818,5.195735874,2.99529626,2.342372799
2007,19.78138094,2.476268052,5.977320082,7.70967293,2.548033153,5.398186068,2.970470795,2.125952649
2008,18.99192373,2.641438891,20.04713461,6.043920817,2.162000874,7.370284238,4.514241692,2.163758419
2009,29.11582546,4.217395577,4.691454829,16.13588359,2.667610196,5.988069996,3.814697805,1.791419509
2010,16.93597429,3.123726048,4.791750479,9.341716773,2.515444853,5.239597792,2.597238183,2.012901323
2011,23.66501043,2.894760701,17.15282444,7.574576063,2.652480201,7.901022537,3.985882066,2.290552504
2012,26.0720138,2.140547777,1.893023771,9.495234827,2.784918021,6.711646295,4.971774634,1.892670166
2013,22.27144477,3.611146639,6.718581846,8.745296802,2.753353668,5.597027289,2.881512988,2.35132
2014,18.16921248,3.316742279,3.265360158,10.91234958,3.249783522,5.662408089,3.135512559,2.022595125
2015,21.31566398,3.005804664,3.278578543,14.29610582,2.569080822,4.668112641,2.520987328,1.606808032
2016,22.36387375,3.634808603,4.206823441,6.518343116,2.423785404,4.982982519,2.400744304,1.645767586
2017,23.67917131,3.574545397,2.987115258,10.00030537,2.488229228,4.797818435,3.121952004,2.146297165
2018,21.26032118,3.163172264,4.358619586,11.83432856,2.298537256,4.782711668,3.115557787,1.808347666
2019,20.68149159,2.777112523,2.76204804,8.316965859,2.380872872,5.07333201,2.781498702,1.873519449
2020,22.33929882,1.731077254,4.906751813,9.999757195,2.406136758,5.251952766,3.622490367,1.900722689
2021,30.30171909,2.38941692,8.371347029,5.184793118,2.325190178,5.055589402,3.085346109,2.100603813
2022,23.5708025,3.284185176,4.199688833,6.214179403,2.462679858,4.003920521,2.756910469,1.906270714
