Year,YFT_DEL,SKJ_DEL,BET_NOA,YFT_NOA,SKJ_NOA,BET_OBJ,YFT_OBJ,SKJ_OBJ
2000,100.3898833,60.36475604,86.27104908,68.61629133,56.88156707,88.2631792,60.47102267,59.25382494
2001,100.7457649,57.82645479,66.44682872,74.5188717,51.68854357,67.50661173,58.48297747,52.92619269
2002,97.02947796,60.65699387,61.48647309,83.69030686,52.73323227,58.35763767,51.57859305,46.64917529
2003,91.10867645,58.99305174,77.91726326,71.86538237,48.23580895,58.69373759,51.53302001,50.7634148
2004,91.61837521,59.90897922,84.68686222,69.31935248,52.18561287,58.85245972,55.08842858,47.61093452
2005,90.7363978,53.0780039,63.81619334,64.41623879,48.71622779,57.8460735,51.26358879,48.09245493
2006,82.04695893,54.79888663,78.46502472,61.00197671,45.82225778,54.76574502,49.38984253,46.65695728
2007,92.67557526,48.6633172,58.26586487,65.19990747,48.43337147,55.67199322,49.11713059,45.38697335
2008,90.73743765,49.6783498,91.50506769,62.87149842,46.65125114,61.38938015,54.86730982,45.73756201
2009,107.4724829,56.43217991,53.48858299,80.89195175,49.11881521,56.17126934,51.2335957,43.33089013
2010,86.67778195,51.80779251,52.30558503,69.72334503,48.4017367,53.89915725,45.85399692,44.56289896
2011,97.42977218,50.87906945,88.0199867,67.59032714,49.48237624,62.54927342,53.79050711,46.92737804
2012,102.4832054,46.78301293,40.73972088,70.98469994,49.40901387,58.62663299,56.11475284,44.03480593
2013,96.16585579,53.87896913,56.90869875,66.1999566,49.97259054,54.86381018,47.85276559,46.81410982
2014,87.7786957,53.05114116,47.67792714,73.14690638,52.09352178,54.81435486,49.61478035,44.69123841
2015,94.80138205,51.6510497,48.96038837,78.31842684,47.98991529,52.90448864,46.32828206,42.11203659
2016,95.44341385,54.88191625,51.59469705,61.6988058,47.61957894,53.16584842,45.92011895,41.69766528
2017,95.99483119,53.72572215,45.11613784,70.87744807,47.82057615,52.03239486,49.48929839,44.7640199
2018,93.98571458,51.93781894,52.14098568,73.31709351,47.13642316,52.62505263,49.16212736,43.0351588
2019,92.69960664,50.10960954,46.57887492,63.48071784,46.59733466,54.48023082,47.35512385,43.29673814
2020,94.65891261,43.94004925,53.16429967,66.19846358,47.83138616,53.93841496,50.5866951,43.9292263
2021,107.9382168,49.03088255,61.73595904,58.02142721,48.20921216,55.50359265,49.89140459,45.52148342
2022,98.57950714,53.04537742,52.89824419,61.08597597,47.67194997,50.68701191,48.59320244,43.89520005
2023,98.5739806,50.51309007,43.13847928,66.64338857,47.31961926,51.97971337,51.3562338,43.4734729
