Year,Type,NSets,YFT,SKJ,BET
2009,DEL,10910,178291,2683,1
2010,DEL,11646,170028,1365,0
2011,DEL,9604,134926,4387,2
2012,DEL,9220,133825,2122,0
2013,DEL,10736,157432,4272,0
2014,DEL,11382,167780,4413,3
2015,DEL,11020,160595,5608,2
2016,DEL,11219,146526,3179,4
2017,DEL,8863,112533,1656,1
2018,DEL,9774,147859,2456,1
2019,DEL,9680,153649,3696,28
2020,DEL,9773,150263,1705,63
2021,DEL,9887,158256,2585,0
2022,DEL,10614,177458,2874,0
2023,DEL,10328,198411,9584,0
2024,DEL,10554,195076,12035,0
2009,OBJ,9219,36147,157023,75889
2010,OBJ,8831,37850,114659,57059
2011,OBJ,9459,42176,171193,55587
2012,OBJ,10677,37487,177055,65035
2013,OBJ,11119,35112,194372,48337
2014,OBJ,12637,46049,199696,59797
2015,OBJ,12842,43603,206515,60975
2016,OBJ,14591,58673,248190,55269
2017,OBJ,15692,67167,224422,65443
2018,OBJ,16825,66122,213626,63815
2019,OBJ,15476,52862,226375,68553
2020,OBJ,12151,44461,191399,78208
2021,OBJ,15169,66542,227028,57391
2022,OBJ,17914,90837,241855,46737
2023,OBJ,17264,74129,319153,42167
2024,OBJ,15209,62395,458923,33808
2009,NOA,7931,22319,70817,909
2010,NOA,6629,43131,31168,693
2011,NOA,8022,29749,100455,923
2012,NOA,8365,26705,87038,985
2013,NOA,7220,25643,79916,1150
2014,NOA,5797,20237,57360,645
2015,NOA,9317,41529,116784,1936
2016,NOA,7401,36919,86192,1458
2017,NOA,6976,31280,98681,1529
2018,NOA,6088,25000,72739,707
2019,NOA,8012,21802,117334,642
2020,NOA,6458,24023,102857,513
2021,NOA,6481,28617,96911,779
2022,NOA,4760,23366,52062,237
2023,NOA,4285,25440,60147,199
2024,NOA,7603,36299,169712,250
